nome_com,wkt
Vermezzo,"MULTIPOLYGON (((9.00575632395853 45.4010975241808,9.00002435363533 45.3968492091123,8.99846167711856 45.3980913222562,8.99687784972023 45.3977582608571,8.99531978018442 45.3953099246553,8.99254822479614 45.3930325243681,8.99090035498533 45.3923123329002,8.98133084061684 45.3887107539035,8.97094000037107 45.3848741615958,8.96177168122383 45.3842953953432,8.95772375362298 45.3828177840322,8.95698332730037 45.3838706296899,8.96294446151206 45.3872706033042,8.9615725360959 45.3966042084569,8.96134372808928 45.4030096323039,8.96155905549792 45.4042157151348,8.96466673574156 45.4054667398959,8.9651011444538 45.4055208398033,8.96524686933649 45.405535944696,8.96630135926662 45.4056452203869,8.96684320286762 45.4057013669359,8.96727816344691 45.4048284005065,8.96748245299868 45.4043874065177,8.96808351615515 45.4034514770117,8.96879502849442 45.4035326915777,8.97310134990713 45.4040915083697,8.97390418123322 45.4070092125685,8.97324213471481 45.4089704028238,8.97420051078876 45.409051640302,8.97478829184877 45.4090697816281,8.9763724967803 45.4089441055909,8.9783405425696 45.4074953230498,8.9785578792488 45.4072253424536,8.97711430418815 45.4063339615274,8.97901853705637 45.4044171138259,8.9846394404236 45.4044270036225,8.98776948065928 45.4045804030731,8.98808887069451 45.4048054607841,8.98610787654742 45.4083786368798,8.98375743920203 45.4084323390588,8.9819809234346 45.410673317387,8.98337290552416 45.4124107129019,8.98445885560839 45.4134819744829,8.98912268426217 45.4129874679892,9.00478611299996 45.4060751278943,9.00689391309406 45.4048598860567,9.00575632395853 45.4010975241808)))"
Vernate,"MULTIPOLYGON (((9.06783837862234 45.3384887352761,9.06787683397016 45.3396318393649,9.06991895226341 45.3399906649292,9.07148852988151 45.3400976992842,9.07247128006895 45.340088084259,9.0808238493462 45.3381067334714,9.08348678452789 45.3356115109301,9.08606244704739 45.3262602498408,9.08256602985706 45.3167099459391,9.07918244199453 45.316775227314,9.07091019690493 45.3154755124336,9.07079639552425 45.3153151854804,9.07098512008838 45.3141702964929,9.07155508444048 45.3124957351722,9.07225281637195 45.3106950530431,9.07293110445556 45.3073542631893,9.07188787212052 45.3070768241588,9.0654090004863 45.3058768251554,9.05336268668637 45.3036125467726,9.04921635757173 45.3029213134392,9.04732845191109 45.3026790729282,9.04588811423632 45.3028416797059,9.04503425287442 45.3032380821307,9.04379772493924 45.303607600457,9.04221673987697 45.3038782412138,9.04030395897134 45.303959932695,9.03845303691782 45.3029704428664,9.03817229110807 45.3027905256182,9.03114688613347 45.2974543158397,9.02968674015184 45.299498620417,9.0265692731054 45.3047785678448,9.02618771843957 45.3054357302068,9.02606642728868 45.3058834365356,9.02618000711185 45.3059938141791,9.02787344739667 45.3071455607014,9.0288308460714 45.3077573984684,9.02973662476973 45.3079821949422,9.0305906469111 45.307603917569,9.03133827047391 45.30694096297,9.03111538168797 45.3066002646728,9.03123935807682 45.306424588683,9.03275509113489 45.3047679656147,9.03360909831281 45.3044346640286,9.03645182228099 45.303727202442,9.03748087508637 45.3041300661998,9.03735875202995 45.3045640140323,9.03511067838636 45.3110230547823,9.03172453958621 45.3158756677302,9.03017667206811 45.3178537155125,9.03615465143579 45.3212626517019,9.03282839219916 45.3302456495133,9.03228203528836 45.3315869726712,9.03103430365759 45.3345936715328,9.02988115891723 45.3350080307858,9.02570086367916 45.3350180625287,9.0285524461521 45.3381931470834,9.03067762836515 45.3402644769833,9.03501997666575 45.3436881435121,9.03562745106041 45.3436879556409,9.04682324380104 45.3425947834206,9.05674174191886 45.3369916031422,9.06158163219575 45.3338342009751,9.0659051337643 45.3315230063558,9.06734726154639 45.331621175537,9.06830780410833 45.3321516778193,9.07018756575129 45.3350076660763,9.06956218975743 45.3372185369367,9.06918959894468 45.3384609187403,9.06783837862234 45.3384887352761)))"
Vignate,"MULTIPOLYGON (((9.37910817987273 45.5138440407889,9.38320736020125 45.5129122722216,9.39030668262516 45.5080437114923,9.3939913994527 45.5083876432388,9.39671679000117 45.5086419600101,9.39701066114232 45.5086693825418,9.39735327146469 45.5087046347239,9.39829450631872 45.507118140611,9.40394603592402 45.5011892371667,9.40721219281176 45.4964071915222,9.40765415088321 45.4955775339559,9.40800538701937 45.4929300409892,9.40764264778276 45.492319262425,9.40580893460102 45.4912501998126,9.404827766704 45.4906796172673,9.40466283287454 45.4905837007533,9.40133169836984 45.4894703481088,9.39562138912391 45.4899583015447,9.39314776215636 45.492856131613,9.38118959908831 45.491123483509,9.3804601082955 45.4907568902127,9.38188828769274 45.48692674832,9.38405210668352 45.4844082602449,9.38776306589897 45.4804803302024,9.38961842671268 45.4785253247185,9.39060778909302 45.4776308747628,9.38648858344293 45.4772308442297,9.38382687942853 45.478913977655,9.38207586098364 45.4809585523036,9.37553290169325 45.4857687028577,9.37250600919045 45.4865166842809,9.37170089075319 45.486555307798,9.36951404790105 45.4867514230079,9.3692320975947 45.4904787031744,9.36480222312987 45.4995657880422,9.36320232508066 45.499561889995,9.35328103997741 45.4969287586042,9.34897508638116 45.5005423248243,9.34908585273767 45.5011898581299,9.3491275727103 45.5040143926667,9.3529584968272 45.5042766294045,9.35360248007161 45.5043219569262,9.35437042869221 45.5043791923515,9.35580511985605 45.50448612687,9.35640438772964 45.5046673339116,9.35570663143424 45.5071416812417,9.35937909404711 45.5089393625888,9.36822699207545 45.5118724461048,9.37082792606718 45.5125660974978,9.37136294042416 45.5114302633096,9.37274404023284 45.5102376582417,9.37455325963414 45.5099076940868,9.37582164860032 45.5100655600591,9.37782735059585 45.5118410949767,9.37806954200969 45.5121643207072,9.37910817987273 45.5138440407889)))"
Vimodrone,"MULTIPOLYGON (((9.30449338477665 45.5269296301057,9.30006942053344 45.5242509506978,9.30024480293149 45.5217607483554,9.30440240606107 45.5187695189421,9.3063028777699 45.514292677163,9.30344937486621 45.5081355591472,9.30001390600214 45.5101638062861,9.29517965204761 45.5086102546005,9.28633542726327 45.5088667828282,9.27820377046464 45.5082658267094,9.27647429211168 45.5079909945664,9.27567672636432 45.5071918489826,9.27438431417998 45.5072849708711,9.2733607379128 45.507386433234,9.2726580128558 45.507658134136,9.26953696071006 45.5134114239615,9.26940314364036 45.5177242726978,9.26771568907006 45.5182097971303,9.26860157619294 45.5187297593566,9.27060401519046 45.5197961211002,9.27265636550658 45.5204527518873,9.27895168787157 45.5223322740171,9.28594679453431 45.5231250450607,9.28706042599812 45.5230592633792,9.28863594794322 45.5231722920309,9.28941769246217 45.5233053225671,9.2930848572604 45.5242860621131,9.2942821430008 45.5255250986429,9.29431444881911 45.5268121257759,9.30408858399443 45.5269971847525,9.30449338477665 45.5269296301057)))"
Vittuone,"MULTIPOLYGON (((8.95509222520494 45.5006165260882,8.96054876583967 45.4998383155001,8.96160350713009 45.4970185723347,8.96236251974966 45.4887335359489,8.96246427118878 45.4880405157081,8.96250391827751 45.4877704920652,8.96452850143219 45.4747693745664,8.9651598954917 45.4723168295489,8.96581268916616 45.4710568916871,8.97027944494408 45.463911436351,8.9756380012038 45.4640027175068,8.97575333712686 45.4635256925229,8.97545109038352 45.4599657750668,8.97470665156077 45.4578098834329,8.97432308832038 45.4575037768109,8.97319790101346 45.4568824626857,8.97190642063668 45.4564140986371,8.9716122705178 45.4564320169359,8.9710621328609 45.4568279307096,8.97064021658631 45.4572958587191,8.96992338099615 45.4585107959394,8.96551147926033 45.4588966043132,8.96410492509131 45.4583831020759,8.96211096931679 45.4571583388194,8.95982177479779 45.4569775500265,8.95726885902545 45.4597152131225,8.96018284363622 45.4618486390064,8.96132818476796 45.4621625924761,8.96166061786112 45.4617486611851,8.96210857679806 45.4613167582679,8.96272265505818 45.4610829422035,8.96405232688407 45.4612723891953,8.96529096347321 45.4616592387061,8.96519013423284 45.4621368283628,8.96487048849936 45.4626227756488,8.96443528376071 45.4631176824785,8.95769166106757 45.4691279845836,8.9564250617242 45.4698655806188,8.95524610613452 45.4699551372971,8.95511697344772 45.4699544601681,8.95689374371669 45.4681611829971,8.95730428321157 45.4669207952059,8.95654229415129 45.4666343045667,8.95480199807195 45.4674167161024,8.95082565844531 45.4707724080292,8.94766655273021 45.4794883508963,8.94669030425731 45.4821898041242,8.94563403692545 45.4818591309158,8.94491942464318 45.4815347598732,8.94404816646257 45.4811383043368,8.94259023342186 45.4804715126629,8.94195074227758 45.480237173043,8.94085060597995 45.480047588503,8.93916842348585 45.4860941833707,8.93920560037981 45.4868333793536,8.93926060753904 45.4870044187263,8.93939418353658 45.4874190649367,8.93974881764648 45.4873135761115,8.94024174036205 45.4871669499601,8.94341159978719 45.4907419121939,8.94386632375612 45.4920236695216,8.94443252304577 45.4936406789087,8.94459084219364 45.4941752696461,8.94524886966831 45.4964313521616,8.94879869833547 45.4987969403481,8.95290458787815 45.5003539789164,8.95509222520494 45.5006165260882)))"
Vizzolo Predabissi,"MULTIPOLYGON (((9.35201028432666 45.3772897663171,9.35404610275472 45.3686524242995,9.35426012837569 45.3661553692314,9.35478032916352 45.3640319078969,9.35760979994597 45.3646988719279,9.3614841144476 45.359466420641,9.36232296283797 45.3550407539952,9.36151842889453 45.3549983051537,9.3615740896546 45.3497054825538,9.36261110041392 45.3481810215609,9.36348450465594 45.3471462887592,9.35737434911878 45.3444857029249,9.35605519787373 45.3449432492092,9.34247633288901 45.3410693027723,9.3370908658744 45.3476291097274,9.33685558984825 45.353156473785,9.3362283866727 45.3614933057659,9.33537234325527 45.3635570767756,9.33508006250893 45.3659522200437,9.33503331291038 45.3688506870965,9.33619655384155 45.3690543031856,9.3369761376035 45.3692950234697,9.33746307677703 45.3694466073114,9.34076427022817 45.3705529391317,9.34168560128124 45.3708652261281,9.34253154004557 45.3713847469282,9.34317362334213 45.3719768968779,9.3432794235997 45.372579633841,9.34324560093155 45.373317820412,9.34357947217835 45.373622860243,9.34531174059456 45.3749767850057,9.3499050082413 45.3784282202194,9.35034000044013 45.3785529022388,9.35081136471261 45.3783624318652,9.35201028432666 45.3772897663171)))"
Zelo Surrigone,"MULTIPOLYGON (((9.00002435363533 45.3968492091123,9.00723113219289 45.3877219366685,9.00769363057431 45.3865967822773,9.00775986109258 45.3863537609694,9.00769354999122 45.3860027246284,9.00756055251157 45.3854086577906,9.00266789846929 45.3830866227387,8.99982517895974 45.3823215644734,8.99420534974856 45.3814393085206,8.99175307011254 45.3813851452974,8.98844099106889 45.3812081858915,8.98793993212653 45.3810154336959,8.98777122894173 45.3809495039015,8.97709090380244 45.3762975587695,8.97122838096074 45.3726508274114,8.97027829644213 45.3702022902914,8.96374263661673 45.3763121117185,8.95772375362298 45.3828177840322,8.96177168122383 45.3842953953432,8.97094000037107 45.3848741615958,8.98133084061684 45.3887107539035,8.99090035498533 45.3923123329002,8.99254822479614 45.3930325243681,8.99531978018442 45.3953099246553,8.99687784972023 45.3977582608571,8.99846167711856 45.3980913222562,9.00002435363533 45.3968492091123)))"
Zibido San Giacomo,"MULTIPOLYGON (((9.09039930508212 45.4063303262234,9.09333976719804 45.4017090553155,9.09623212331382 45.3978727772046,9.10053278081222 45.3987414466827,9.10102149003805 45.3988213692583,9.10193281892718 45.3984876772762,9.10321625544423 45.3967991628727,9.10244364507081 45.3927937851058,9.1003389429738 45.3904310218775,9.10004468323288 45.3897540488239,9.10377874524177 45.3849471246125,9.11645963230035 45.3785053941535,9.12683556929209 45.3810860328482,9.12420542874879 45.3860450801277,9.13602857156775 45.380966914694,9.13660765997354 45.3776268458878,9.13692342565693 45.3763303083228,9.13744437837523 45.3753980776451,9.13842485015323 45.3743797713554,9.13983858365747 45.3729918948137,9.14083136265106 45.3721560323791,9.14508381319841 45.3627511506883,9.1488152904667 45.3502708615671,9.14491560927434 45.3476565579942,9.14348484217292 45.3470643034805,9.14148008103551 45.3466167509151,9.13941173992952 45.3462502406362,9.13629801030975 45.3462450030554,9.13525227568646 45.3466422867951,9.13457706658231 45.3470301292765,9.13424579153239 45.3472825522299,9.13371067912334 45.3475442087025,9.13233323073583 45.347860853605,9.12888624799816 45.3474597581411,9.12739270827991 45.3472543997496,9.12420344176845 45.3466103544086,9.11815898003722 45.3441319438941,9.11670171787826 45.3428822921875,9.11662366723103 45.342171289136,9.11737924424128 45.3395953069934,9.1167581023244 45.3394618155775,9.11494547417078 45.3391216250014,9.11355388033745 45.338888975814,9.10585023746668 45.3405435856955,9.10273809311722 45.3412395001329,9.10175568149488 45.3412133915971,9.10115585180698 45.3412499260871,9.10054411448622 45.3415294875749,9.10013690955128 45.3422229358687,9.09984554168659 45.3432403180495,9.0992117421177 45.3455271391813,9.09894624192491 45.3467515317981,9.09865453602687 45.347840914598,9.0904287745963 45.3510611024645,9.08931926198474 45.3514940174053,9.08827262575056 45.3515848454741,9.07940037989002 45.350052174834,9.07795946683146 45.3497471414456,9.07750003438419 45.3498284539405,9.0731800689812 45.3546648813156,9.07284915693632 45.3551421515506,9.07255691889821 45.3562404629869,9.07237940083588 45.3571946927074,9.07240576108246 45.3578337519273,9.07257256704563 45.3584997287227,9.07273894116202 45.3588056672894,9.07345510017727 45.3597233051601,9.07395360464444 45.3601640392918,9.07475835618478 45.3604785562755,9.07773332036909 45.361142651813,9.07932821014766 45.3612135592613,9.08444689999764 45.3612188860563,9.08424046581991 45.3597788681462,9.08502968755387 45.3584551328097,9.08620505267333 45.3592463501899,9.09086136402859 45.3648593948249,9.09064766992926 45.3669748109994,9.09042025773928 45.3682531417356,9.09010344662879 45.3695315422887,9.08721404485284 45.3748084017223,9.08671757034758 45.3755918613274,9.08642408320694 45.3757451059609,9.08531332682162 45.3756919284664,9.08388262550628 45.3754679630105,9.08408602802131 45.3748287386117,9.08399627118745 45.3745857882179,9.08118808760696 45.3750108632827,9.07965633548825 45.3752549771087,9.07729462239215 45.3756346470576,9.07716747026839 45.3760487637839,9.07695179946013 45.3768050037948,9.07711250266084 45.3822910366771,9.07729185872273 45.3826869535561,9.07871112347746 45.3837751078888,9.07974675384851 45.3842244399905,9.08033465610367 45.384467062938,9.08121584720902 45.3846464494985,9.08213574682688 45.3847988127501,9.08021427638607 45.3893727004043,9.07989595124891 45.3898229726334,9.07562076316427 45.3929492435675,9.07171253931999 45.3930417589976,9.07095873345529 45.3929612305638,9.07027401519907 45.3967780776371,9.07041705131247 45.3984791769116,9.07056077367404 45.398474589515,9.07120173574427 45.3984508719575,9.07340572645814 45.3983692895531,9.07564279650103 45.3996009575456,9.07644845847969 45.4001494984865,9.07632770966658 45.4050731088016,9.0733552150693 45.4080858871969,9.07472294219307 45.4087240708179,9.07618031536367 45.4091911666808,9.07773946917014 45.4096041624642,9.07904357542763 45.4098057842417,9.08142890759782 45.4062667298187,9.08771240105832 45.4051909494334,9.09039930508212 45.4063303262234)))"
Villa Cortese,"MULTIPOLYGON (((8.8839774387722 45.5802908280518,8.89105977070118 45.576598517099,8.89582009454939 45.5716838532775,8.89755746194505 45.5692763320201,8.90073247224144 45.5601996114622,8.89999119406595 45.5599283268197,8.89922158974952 45.5596961179187,8.89740326291779 45.5591474554019,8.89606425756874 45.5587637122083,8.89377095397692 45.5582573716076,8.88091600826012 45.5563117529621,8.88043889016464 45.5572860568347,8.87523295676296 45.5616006094957,8.87731012775085 45.5633024301812,8.87767190678291 45.5636014042925,8.87785011429235 45.5637726027845,8.87791479896695 45.5638581852805,8.8779225599109 45.5639707118458,8.87791428231855 45.56409671428,8.87698423416382 45.5660533738331,8.87484343736776 45.5666090860632,8.87360911645178 45.5684618804627,8.87582474201002 45.5720973863498,8.87872595058758 45.5726617660666,8.88040338235728 45.5733295919507,8.88166226457697 45.5756974401412,8.88210989980403 45.5784797818186,8.88119409028438 45.581233051331,8.88234559885235 45.5822333177753,8.88344726873274 45.5825494747253,8.88404947912125 45.5826580898018,8.88451508828485 45.5806244101115,8.8839774387722 45.5802908280518)))"
Vanzaghello,"MULTIPOLYGON (((8.80030207647438 45.6030459795646,8.79794334041284 45.5966124084257,8.79780654563118 45.5930717149185,8.79780675061597 45.592623331191,8.79507695153158 45.583037639326,8.79393204264498 45.5824820962786,8.79243868109248 45.5817408193296,8.79102945966975 45.5810361377037,8.78978310717484 45.5802103358682,8.78969518380964 45.580094736247,8.7894839901328 45.5798170603642,8.78899832161152 45.5791783113746,8.78575399387219 45.574369521734,8.78424543428364 45.572129206922,8.78386910388575 45.5715374437025,8.78366095393138 45.5703599052584,8.78364729257163 45.5701857935212,8.78343717372571 45.5672284397689,8.77388375519528 45.5657068049422,8.7721675810021 45.5654873727866,8.7711273983964 45.5691935998791,8.76988987234975 45.5709822604805,8.76723913822672 45.5735961051275,8.7655600519056 45.5736466633094,8.7631401551069 45.5731016439643,8.76057849646689 45.5727542698069,8.75814237642301 45.5730191517958,8.75786319041866 45.575358747434,8.76060428916174 45.5757335624688,8.76674864706564 45.577537418239,8.76816521096458 45.579016417213,8.76952419409008 45.583821047563,8.77027110137809 45.5874903477807,8.77053608170308 45.588525955047,8.77199622005658 45.5888349106697,8.77531804432561 45.5884274591237,8.77819101019581 45.5880550404232,8.779949646978 45.5878424201657,8.78332102656081 45.5874348312862,8.78334641616378 45.5875023829291,8.78373975594548 45.5885517138705,8.78534971294629 45.5932981153815,8.78628642240846 45.5964591203444,8.78686869036284 45.5984403615777,8.78732376299869 45.6001603461646,8.78735886633233 45.6010514639419,8.78722193174052 45.6033553834676,8.80030207647438 45.6030459795646)))"
